Galaxy,Seyfert_Type,PlateScale,pc_arcsecond,Redshift,Distance_Mpc,Xray_Lum14195kev,Column_Density_LognH,Obs_date,PSF,H2 (erg/s)(Central 200 pc Log[Luminosity]),[Si VI] (erg/s)(Central 200 pc Log[Luminosity]),Br-Ga (erg/s)(Central 200 pc Log[Luminosity]),H2 (pc) (HWHM),[Si VI] (pc)(HWHM),Br-Ga (pc)(HWHM)
Circinus,SINFONI,1h,0.0014,0.0125,4.2,20,41.76,--,6,36.2,37.01,36.32,10,10,10
"NGC	1097",SINFONI,3b,0.0042,0.05,17,82,--,--,19,38.32,38.21,<37.44,10,20,10
"NGC	1194",OSIRIS,1.9,0.0128,0.05,55.3,268,43.12,24.18,28,37.84,38.83,38.31,30,10,10
"NGC	1320",OSIRIS,2,0.00948,0.05,36.7,178,42.33,--,21,37.99,38.95,38.11,20,20,20
"NGC	1365",SINFONI,1.8,0.00577,0.05,17.9,87,42.39,22.21,24,--,38.65,39.19,60,20,10
"NGC	1386",SINFONI,1i,0.0029,0.05,16.2,79,41.8,--,31,38.21,38.8,38.26,20,20,20
"NGC	1566",SINFONI,1.5,0.005,0.05,12.2,59,41.54,20,26,38.16,--,37.38,10,10,10
"NGC	1614*",SINFONI,2,0.0156,0.125,64.9,315,43.05,--,287,38.18,--,39.39,160,10,110
"NGC	1667",OSIRIS,2,0.0153,0.035,65,315,40.46,--,110,38.8,38.11,37.97,40,20,20
"NGC	1672*",SINFONI,2,0.0049,0.125,20.2,98,41.68,--,152,37.72,37.91,37.28,20,--,40
"NGC	1808*",SINFONI,2,0.0036,0.125,14.8,72,41.76,--,64,38.18,--,38.45,20,30,10
"NGC	2110",SINFONI,1i,0.00802,0.05,35.6,173,43.7,22.94,52,38.7,38.56,38.55,20,10,20
"NGC	253*",SINFONI,2,0.00077,0.125,3.2,16,40.54,--,9,38.21,--,38.91,20,30,10
"NGC	262",OSIRIS,2,0.0142,0.035,64.1,311,43.85,23.12,78,38.2,38.61,38.35,40,20,40
"NGC	2911",SINFONI,3,0.0102,0.05,52,252,--,--,174,38.77,38.7,37.31,30,70,80
"NGC	2974",SINFONI,2,0.0066,0.05,24.7,120,42.02,--,41,37.91,<38.04,--,20,30,20
"NGC	2992",SINFONI,1i,0.00797,0.05,31.6,153,42.59,21.72,62,38.85,39.04,39,40,20,20
"NGC	3081",SINFONI,1h,0.008,0.05,26.5,128,42.84,23.91,46,38.28,39.05,38.24,20,20,20
"NGC	3169",SINFONI,3,0.0041,0.05,18.8,91,--,--,28,38.66,--,--,20,10,10
